Time	Symbol	MarketMode	State	TradeUUID	Event	StartAdjusted	ImpulseATR	StartPrice	EndPrice	BandLower	BandUpper	TouchCount	FreezeCancelCount	ConfirmType	EntryType	EntryPrice	SL	TP	SpreadPts	SlippagePts	FillDeviationPts	Result	RejectReason	Extra
2026.03.10 09:03:00	USDJPY#	FX	IDLE	20260310090300_USDJPY#_01	LOG_REJECT	false	0.026	157.536	157.610	0.000	0.000	0	0	NONE	NONE	0.000	0.000	0.000	13.0	0.0	0.0		TREND_MISMATCH	
2026.03.10 09:33:00	USDJPY#	FX	IDLE	20260310093300_USDJPY#_01	LOG_REJECT	false	0.032	157.351	157.426	0.000	0.000	0	0	NONE	NONE	0.000	0.000	0.000	13.0	0.0	0.0		TREND_MISMATCH	
2026.03.10 09:33:34	USDJPY#	FX	IDLE	20260310093334_USDJPY#_01	LOG_REJECT	false	0.034	157.351	157.426	0.000	0.000	0	0	NONE	NONE	0.000	0.000	0.000	12.0	0.0	0.0		TREND_MISMATCH	
