entry_idx,entry_dt,dir,entry_price,oracle_pnl,H1_sr_target,H1_sr_found,H1_sr_dist_atr,H1_htf_atr,conv_reason,conv_pnl,conv_bars,H1_reason,H1_pnl,H1_bars,M15_sr_target,M15_sr_found,M15_sr_dist_atr,M15_htf_atr,M15_reason,M15_pnl,M15_bars
1263,2025-09-02 01:37:00,BUY,3478.23,678.00000000002,3489.78,True,1.73,6.69399,TimeExit,-25.0,8,TimeExit,-25.0,8,3481.31,True,1.24,2.48218,TimeExit,-25.0,8
1324,2025-09-02 02:38:00,BUY,3478.93,2047.0000000000255,3489.78,True,1.6,6.77479,EMACross,44.00000000000546,65,EMACross(FB),44.00000000000546,65,3481.31,True,0.77,3.08979,SR_TP,238.0000000000109,25
1385,2025-09-02 03:39:00,BUY,3482.19,2644.0000000000055,3489.78,True,1.12,6.78215,StructBreak,-190.99999999998545,2,StructBreak,-190.99999999998545,2,3485.86,True,1.02,3.61076,StructBreak,-190.99999999998545,2
1446,2025-09-02 04:40:00,BUY,3499.6,903.00000000002,3509.6800000000003,True,1.0,10.11386,TimeExit,-31.999999999970896,8,TimeExit,-31.999999999970896,8,3509.6800000000003,True,1.78,5.65343,TimeExit,-31.999999999970896,8
1509,2025-09-02 05:43:00,BUY,3496.56,173.00000000000182,3509.6800000000003,True,1.31,10.02135,TimeExit,-100.99999999997635,8,TimeExit,-100.99999999997635,8,3509.6800000000003,True,1.92,6.84801,TimeExit,-100.99999999997635,8
1577,2025-09-02 06:51:00,BUY,3494.54,382.9999999999927,3509.6800000000003,True,1.59,9.5305,TimeExit,-1.999999999998181,10,TimeExit,-1.999999999998181,10,3498.37,True,0.73,5.27631,TimeExit,-1.999999999998181,10
1638,2025-09-02 07:52:00,BUY,3496.32,153.99999999999636,3509.6800000000003,True,1.49,8.9411,TimeExit,-93.0000000000291,9,TimeExit,-93.0000000000291,9,3509.6800000000003,True,3.04,4.39215,TimeExit,-93.0000000000291,9
1699,2025-09-02 08:53:00,BUY,3495.04,69.00000000000546,3509.6800000000003,True,1.72,8.53429,EMACross,-36.999999999989086,2,EMACross(FB),-36.999999999989086,2,3498.37,True,0.76,4.3932,EMACross(FB),-36.999999999989086,2
1760,2025-09-02 09:54:00,SELL,3484.03,1383.0000000000382,3468.27,True,1.74,9.07505,TimeExit,-259.9999999999909,8,TimeExit,-259.9999999999909,8,3481.31,True,0.57,4.73643,TimeExit,-259.9999999999909,8
1821,2025-09-02 10:55:00,SELL,3474.69,449.00000000002365,3468.27,True,0.64,10.00771,TimeExit,-53.99999999999636,16,TimeExit,-53.99999999999636,16,0.0,False,0.0,5.89809,TimeExit,-53.99999999999636,16
1884,2025-09-02 11:58:00,SELL,3477.04,138.0000000000109,3468.27,True,0.86,10.15601,EMACross,-101.00000000002183,6,EMACross(FB),-101.00000000002183,6,3473.31953125,True,0.67,5.56342,EMACross(FB),-101.00000000002183,6
1947,2025-09-02 13:01:00,SELL,3476.45,78.99999999999636,3468.27,True,0.86,9.4859,StructBreak,-325.0,7,StructBreak,-325.0,7,3473.31953125,True,0.63,4.93274,StructBreak,-325.0,7
2008,2025-09-02 14:02:00,BUY,3485.31,876.9999999999982,3509.6800000000003,True,2.5,9.75311,TimeExit,-69.00000000000546,8,TimeExit,-69.00000000000546,8,3489.78,True,1.01,4.42144,TimeExit,-69.00000000000546,8
2069,2025-09-02 15:03:00,BUY,3493.67,40.99999999998545,3509.6800000000003,True,1.44,11.08469,TimeExit,-411.00000000001273,8,TimeExit,-411.00000000001273,8,3498.37,True,0.94,4.9978,TimeExit,-411.00000000001273,8
2130,2025-09-02 16:04:00,BUY,3481.18,3288.000000000011,3489.78,True,0.74,11.64407,EMACross,-229.99999999997272,4,EMACross(FB),-229.99999999997272,4,3485.86,True,0.64,7.3498,EMACross(FB),-229.99999999997272,4
2191,2025-09-02 17:05:00,BUY,3490.18,3191.000000000031,3509.6800000000003,True,1.43,13.59419,EMACross,3223.000000000002,178,SR_TP,1950.0000000000455,39,3498.37,True,0.97,8.40906,SR_TP,819.0000000000055,3
2252,2025-09-02 18:06:00,BUY,3514.65,1403.9999999999964,3545.79,True,2.35,13.23897,TimeExit,-303.00000000002,8,TimeExit,-303.00000000002,8,3527.5625,True,1.49,8.65967,TimeExit,-303.00000000002,8
2313,2025-09-02 19:07:00,BUY,3521.55,855.9999999999945,3545.79,True,1.88,12.8831,TimeExit,-62.00000000003456,13,TimeExit,-62.00000000003456,13,3527.5625,True,0.82,7.36989,TimeExit,-62.00000000003456,13
2374,2025-09-02 20:08:00,SELL,3523.97,23.00000000000182,3509.6800000000003,True,1.17,12.26002,EMACross,-356.00000000004,7,EMACross(FB),-356.00000000004,7,3509.6800000000003,True,2.25,6.34708,EMACross(FB),-356.00000000004,7
2435,2025-09-02 21:09:00,BUY,3529.37,1063.000000000011,3545.79,True,1.42,11.53469,TimeExit,-50.99999999997635,8,TimeExit,-50.99999999997635,8,3535.13,True,1.13,5.1081,TimeExit,-50.99999999997635,8
2496,2025-09-02 22:10:00,BUY,3534.63,536.9999999999891,3545.79,True,0.97,11.55273,TimeExit,-49.00000000002365,43,TimeExit,-49.00000000002365,43,3546.9679296875,True,2.5,4.92802,TimeExit,-49.00000000002365,43
2557,2025-09-02 23:11:00,SELL,3536.91,894.0000000000055,3509.6800000000003,True,2.57,10.6137,EMACross,48.99999999997817,24,EMACross(FB),48.99999999997817,24,3527.5625,True,2.07,4.52095,EMACross(FB),48.99999999997817,24
2618,2025-09-03 01:13:00,SELL,3532.43,652.9999999999745,3509.6800000000003,True,2.27,10.02254,TimeExit,-80.99999999999454,8,TimeExit,-80.99999999999454,8,3527.5625,True,1.26,3.85968,TimeExit,-80.99999999999454,8
2681,2025-09-03 02:16:00,SELL,3528.74,283.9999999999691,3509.6800000000003,True,1.98,9.64753,StructBreak,-149.00000000002365,34,StructBreak,-149.00000000002365,34,3509.6800000000003,True,6.02,3.16482,StructBreak,-149.00000000002365,34
2744,2025-09-03 03:19:00,BUY,3534.22,1261.0000000000127,3545.79,True,1.06,10.86786,EMACross,182.00000000001637,40,SR_TP,1157.0000000000164,6,3546.9679296875,True,2.46,5.18917,EMACross(FB),182.00000000001637,40
2806,2025-09-03 04:21:00,SELL,3535.58,563.0000000000109,3509.6800000000003,True,2.41,10.74148,TimeExit,-163.0000000000109,8,TimeExit,-163.0000000000109,8,3527.5625,True,1.31,6.13644,TimeExit,-163.0000000000109,8
2867,2025-09-03 05:22:00,BUY,3542.2,88.00000000001091,3558.72,True,1.46,11.28128,TimeExit,-167.99999999998363,8,TimeExit,-167.99999999998363,8,3546.9679296875,True,0.81,5.85748,TimeExit,-167.99999999998363,8
2948,2025-09-03 06:43:00,SELL,3530.41,27.999999999974534,3509.6800000000003,True,2.01,10.32778,EMACross,-195.00000000002728,5,EMACross(FB),-195.00000000002728,5,3527.5625,True,0.54,5.31192,EMACross(FB),-195.00000000002728,5
3009,2025-09-03 07:44:00,BUY,3537.2,97.00000000002547,3545.79,True,0.86,9.95474,TimeExit,-46.00000000000364,8,TimeExit,-46.00000000000364,8,3546.9679296875,True,2.25,4.34682,TimeExit,-46.00000000000364,8
