entry_idx,entry_dt,dir,entry_price,impulse_start,h1_atr,sr_target,sr_found,sr_dist_atr,oracle_pnl,oracle_bar,conv_exit_idx,conv_reason,conv_pnl,conv_bars,conv_efficiency,sr_exit_idx,sr_reason,sr_pnl,sr_bars,sr_efficiency,sro_exit_idx,sro_reason,sro_pnl,sro_bars,sro_efficiency
6689,2025-12-05 15:32:00,SELL,155.187,155.254,0.20136,155.011,True,0.87,87.00000000001751,9,6715,TimeExit,-1.999999999981128,26,-2.2988505746904893,6715,TimeExit,-1.999999999981128,26,-2.2988505746904893,6745.0,TimeExit,-0.9999999999763531,56.0,-1.1494252873289101
6750,2025-12-05 16:33:00,BUY,155.258,155.113,0.19692,155.51075,True,1.28,229.99999999998977,107,6760,TimeExit,-102.00000000000387,10,-44.347826086960175,6760,TimeExit,-102.00000000000387,10,-44.347826086960175,6788.0,TimeExit,-31.00000000000591,38.0,-13.478260869568388
6811,2025-12-05 17:34:00,SELL,155.178,155.222,0.20266,155.011,True,0.82,66.0000000000025,5,6822,TimeExit,-1.0000000000047748,11,-1.5151515151586923,6822,TimeExit,-1.0000000000047748,11,-1.5151515151586923,6825.0,StructBreak,-51.9999999999925,14.0,-78.78787878786443
6874,2025-12-05 18:37:00,SELL,155.369,155.488,0.21377,155.226,True,0.67,133.99999999998613,91,6924,EMACross,38.000000000010914,50,28.35820895523496,6924,EMACross(FB),38.000000000010914,50,28.35820895523496,7195.0,SR_TP,143.00000000000068,321.0,106.71641791045931
6935,2025-12-05 19:38:00,BUY,155.32,155.254,0.19687,155.51075,True,0.97,21.000000000015007,3,6943,EMACross,-37.00000000000614,8,-176.1904761903795,6943,EMACross(FB),-37.00000000000614,8,-176.1904761903795,6962.0,StructBreak,-69.99999999999318,27.0,-333.3333333330626
7004,2025-12-05 20:47:00,SELL,155.27,155.315,0.18129,155.011,True,1.43,12.000000000000455,43,7014,TimeExit,-18.000000000000682,10,-150.0,7014,TimeExit,-18.000000000000682,10,-150.0,7034.0,TimeExit,-24.999999999977263,30.0,-208.33333333313595
7067,2025-12-05 21:50:00,BUY,155.289,155.258,0.16525,155.51075,True,1.34,56.000000000011596,114,7089,TimeExit,-3.9999999999906777,22,-7.142857142839016,7089,TimeExit,-3.9999999999906777,22,-7.142857142839016,7097.0,TimeExit,-3.9999999999906777,30.0,-7.142857142839016
7168,2025-12-05 23:31:00,BUY,155.331,155.288,0.14086,155.51075,True,1.28,31.00000000000591,24,7183,TimeExit,-6.000000000000227,15,-19.354838709674464,7183,TimeExit,-6.000000000000227,15,-19.354838709674464,7195.0,StructBreak,-144.9999999999818,27.0,-467.7419354837231
7229,2025-12-08 00:38:00,BUY,155.208,155.179,0.14901,155.51075,True,2.03,168.00000000000637,73,7239,TimeExit,-6.000000000000227,10,-3.571428571428571,7239,TimeExit,-6.000000000000227,10,-3.571428571428571,7315.0,TimeExit,-7.000000000005002,86.0,-4.166666666669486
7292,2025-12-08 01:41:00,BUY,155.292,155.234,0.15261,155.51075,True,1.43,84.00000000000318,10,7311,TimeExit,-33.999999999991815,19,-40.4761904761792,7311,TimeExit,-33.999999999991815,19,-40.4761904761792,7312.0,StructBreak,-80.0000000000125,20.0,-95.23809523810651
