entry_idx,entry_dt,dir,entry_price,impulse_start,ma_match,oracle_pnl,oracle_bar,conv_exit_idx,conv_reason,conv_pnl,conv_bars,conv_efficiency,fr_exit_idx,fr_reason,fr_pnl,fr_bars,fr_efficiency,hyb_exit_idx,hyb_reason,hyb_pnl,hyb_bars,hyb_efficiency
26,2025-12-01 00:27:00,BUY,156.085,156.063,MATCH,60.000000000002274,72,31,StructBreak,-30.000000000001137,5,-50.0,59,UnfavBreak,-42.00000000000159,33,-70.0,31,StructBreak+FR,-30.000000000001137,5,-50.0
94,2025-12-01 01:35:00,BUY,156.117,156.018,MATCH,28.00000000002001,4,104,TimeExit,-48.99999999997817,10,-174.99999999979698,112,UnfavBreak,-141.9999999999959,18,-507.14285714248007,111,StructBreak+FR,-108.99999999998045,17,-389.2857142853662
155,2025-12-01 02:36:00,SELL,155.723,155.851,MATCH,246.00000000000932,34,170,TimeExit,-1.999999999981128,15,-0.8130081300735984,235,TrailStop,183.00000000002115,80,74.3902439024448,184,StructBreak+FR,-187.99999999998818,29,-76.42276422763457
216,2025-12-01 03:37:00,BUY,155.766,155.535,MATCH,27.000000000015234,1,226,TimeExit,-12.000000000000455,10,-44.44444444442105,234,UnfavBreak,-198.99999999998386,18,-737.0370370365614,234,H:UnfavBreak,-198.99999999998386,18,-737.0370370365614
280,2025-12-01 04:41:00,SELL,155.467,155.614,MATCH,76.00000000002183,112,296,TimeExit,-8.99999999998613,16,-11.842105263136244,334,FailSafe,8.000000000009777,54,10.526315789483526,310,TimeExit+FR,-69.99999999999318,30,-92.10526315785931
344,2025-12-01 05:45:00,SELL,155.416,155.506,MATCH,25.000000000005684,48,354,TimeExit,-9.000000000014552,10,-36.00000000005002,389,TrailStop,-6.000000000000227,45,-23.999999999995453,374,TimeExit+FR,-28.999999999996362,30,-115.99999999995907
405,2025-12-01 06:46:00,BUY,155.556,155.391,MATCH,131.00000000000023,98,416,TimeExit,-12.000000000000455,11,-9.160305343511782,515,UnfavBreak,32.99999999998704,110,25.19083969464655,435,TimeExit+FR,-76.00000000002183,30,-58.01526717558908
466,2025-12-01 07:47:00,BUY,155.55,155.437,MATCH,137.00000000000045,37,512,EMACross,88.99999999999864,46,64.96350364963382,515,UnfavBreak,38.99999999998727,49,28.467153284662146,515,H:UnfavBreak,38.99999999998727,49,28.467153284662146
545,2025-12-01 09:06:00,SELL,155.551,155.661,MATCH,296.99999999999704,75,555,TimeExit,0.0,10,0.0,603,UnfavBreak,139.99999999998636,58,47.138047138043014,603,H:UnfavBreak,139.99999999998636,58,47.138047138043014
606,2025-12-01 10:07:00,BUY,155.352,155.301,MATCH,203.00000000000296,35,608,EMACross,-24.00000000000091,2,-11.822660098522443,616,UnfavBreak,-57.999999999992724,10,-28.571428571424573,616,StructBreak+FR,-57.999999999992724,10,-28.571428571424573
667,2025-12-01 11:08:00,SELL,155.476,155.551,MATCH,319.9999999999932,81,677,TimeExit,-45.99999999999227,10,-14.37499999999789,690,TrailStop,109.00000000000887,23,34.062500000003496,690,H:TrailStop,109.00000000000887,23,34.062500000003496
728,2025-12-01 12:09:00,SELL,155.24,155.312,MATCH,180.00000000000682,120,738,TimeExit,-7.000000000005002,10,-3.888888888891521,788,UnfavBreak,-42.00000000000159,60,-23.333333333333332,760,TimeExit+FR,-10.99999999999568,32,-6.11111111110848
791,2025-12-01 13:12:00,BUY,155.316,155.202,MATCH,20.999999999986585,6,801,TimeExit,-22.999999999996135,10,-109.52380952386109,940,UnfavBreak,-564.9999999999977,149,-2690.4761904778984,809,StructBreak+FR,-138.00000000000523,18,-657.1428571433019
852,2025-12-01 14:13:00,SELL,155.062,155.146,MATCH,402.00000000001523,91,923,EMACross,265.0000000000148,71,65.92039800995143,944,TrailStop,338.0000000000223,92,84.07960199005211,944,H:TrailStop,338.0000000000223,92,84.07960199005211
913,2025-12-01 15:14:00,SELL,154.816,154.832,MATCH,156.0000000000059,30,923,EMACross,19.000000000005457,10,12.179487179490216,944,TrailStop,92.00000000001296,31,58.974358974365046,930,StructBreak+FR,-50.99999999998772,17,-32.692307692298584
974,2025-12-01 16:15:00,BUY,154.939,154.791,MATCH,254.0000000000191,86,984,TimeExit,0.0,10,0.0,990,TrailStop,12.000000000000455,16,4.724409448818721,990,H:TrailStop,12.000000000000455,16,4.724409448818721
1035,2025-12-01 17:16:00,BUY,155.091,154.856,MATCH,256.0000000000002,118,1047,TimeExit,-10.99999999999568,12,-4.296874999998309,1062,TrailStop,56.99999999998795,27,22.265624999995275,1062,H:TrailStop,56.99999999998795,27,22.265624999995275
1096,2025-12-01 18:17:00,BUY,155.184,155.038,MATCH,211.9999999999891,116,1172,EMACross,99.99999999999432,76,47.16981132075446,1140,UnfavBreak,85.00000000000796,44,40.09433962264733,1140,H:UnfavBreak,85.00000000000796,44,40.09433962264733
1157,2025-12-01 19:18:00,BUY,155.344,155.256,MATCH,175.00000000001137,116,1167,TimeExit,-26.999999999986812,10,-15.42857142856289,1172,UnfavBreak,-60.000000000002274,15,-34.28571428571336,1172,H:UnfavBreak,-60.000000000002274,15,-34.28571428571336
1218,2025-12-01 20:19:00,BUY,155.386,155.335,MATCH,133.00000000000978,55,1288,EMACross,99.99999999999432,70,75.18796992480223,1294,UnfavBreak,90.00000000000341,76,67.66917293232841,1294,H:UnfavBreak,90.00000000000341,76,67.66917293232841
1279,2025-12-01 21:20:00,BUY,155.5,155.48,MATCH,14.000000000010004,82,1288,EMACross,-14.000000000010004,9,-100.0,1294,UnfavBreak,-24.00000000000091,15,-171.42857142845543,1291,StructBreak+FR,-22.999999999996135,12,-164.28571428556927
1343,2025-12-01 22:24:00,BUY,155.465,155.45,MATCH,49.000000000006594,18,1373,StructBreak,-15.999999999991132,30,-32.65306122446731,1405,TrailStop,-12.000000000000455,62,-24.48979591836498,1373,StructBreak+FR,-15.999999999991132,30,-32.65306122446731
1404,2025-12-01 23:25:00,BUY,155.465,155.433,MATCH,40.99999999999682,33,1414,TimeExit,-12.000000000000455,10,-29.26829268293021,1487,UnfavBreak,-22.999999999996135,83,-56.09756097560469,1438,StructBreak+FR,-40.99999999999682,34,-100.0
1465,2025-12-02 00:26:00,BUY,155.453,155.41,MATCH,193.9999999999884,115,1478,TimeExit,0.0,13,0.0,1487,UnfavBreak,-10.99999999999568,22,-5.670103092781617,1487,H:UnfavBreak,-10.99999999999568,22,-5.670103092781617
1526,2025-12-02 01:27:00,BUY,155.484,155.428,MATCH,284.9999999999966,106,1536,TimeExit,0.0,10,0.0,1584,TrailStop,125.0,58,43.85964912280754,1561,TimeExit+FR,-10.000000000019327,35,-3.508771929831385
1587,2025-12-02 02:28:00,BUY,155.586,155.479,MATCH,182.99999999999272,45,1597,TimeExit,-5.000000000023874,10,-2.7322404371716247,1606,TrailStop,24.00000000000091,19,13.114754098361676,1606,H:TrailStop,24.00000000000091,19,13.114754098361676
1648,2025-12-02 03:29:00,SELL,155.659,155.769,MATCH,73.99999999998386,44,1706,EMACross,30.000000000001137,58,40.54054054055092,1696,FailSafe,63.99999999999295,48,86.48648648649583,1696,H:FailSafe,63.99999999999295,48,86.48648648649583
1711,2025-12-02 04:32:00,BUY,155.639,155.585,MATCH,75.9999999999934,34,1755,EMACross,16.999999999995907,44,22.368421052628136,1747,TrailStop,37.99999999998249,36,49.999999999981306,1747,H:TrailStop,37.99999999998249,36,49.999999999981306
1772,2025-12-02 05:33:00,SELL,155.603,155.675,MATCH,57.00000000001637,35,1782,TimeExit,-15.999999999991132,10,-28.07017543857287,1810,FailSafe,34.000000000020236,38,59.649122807035916,1810,H:FailSafe,34.000000000020236,38,59.649122807035916
1833,2025-12-02 06:34:00,BUY,155.651,155.573,MATCH,152.9999999999916,118,1843,TimeExit,-36.000000000001364,10,-23.52941176470807,1862,FailSafe,-20.000000000010232,29,-13.071895424844007,1862,H:FailSafe,-20.000000000010232,29,-13.071895424844007
1894,2025-12-02 07:35:00,SELL,155.685,155.728,MATCH,57.999999999992724,8,1924,TimeExit,0.0,30,0.0,2026,TrailStop,-51.9999999999925,132,-89.65517241379142,1924,TimeExit+FR,0.0,30,0.0
1959,2025-12-02 08:40:00,BUY,155.76,155.72,MATCH,200.00000000001705,110,1972,TimeExit,-1.0000000000047748,13,-0.5000000000023448,2025,UnfavBreak,-30.000000000001137,66,-14.99999999999929,2025,TimeExit+FR,-30.000000000001137,66,-14.99999999999929
2020,2025-12-02 09:41:00,BUY,155.792,155.765,MATCH,288.99999999998727,106,2022,StructBreak,-28.999999999996362,2,-10.03460207612375,2025,UnfavBreak,-62.00000000001182,5,-21.453287197236868,2022,StructBreak+FR,-28.999999999996362,2,-10.03460207612375
2081,2025-12-02 10:42:00,BUY,155.963,155.851,MATCH,117.999999999995,45,2091,TimeExit,-19.99999999998181,10,-16.949152542358185,2099,TrailStop,13.00000000000523,18,11.016949152547271,2099,H:TrailStop,13.00000000000523,18,11.016949152547271
