entry_idx,entry_dt,dir,entry_price,impulse_start,ma_match,oracle_pnl,oracle_bar,conv_exit_idx,conv_reason,conv_pnl,conv_bars,conv_efficiency,fr_exit_idx,fr_reason,fr_pnl,fr_bars,fr_efficiency,hyb_exit_idx,hyb_reason,hyb_pnl,hyb_bars,hyb_efficiency
8208,2025-12-06 17:18:00,SELL,89584.3,90022.8,MATCH,123.30000000000291,5,8217,TimeExit,-11.39999999999418,9,-9.245742092452481,8230.0,UnfavBreak,-275.09999999999127,22.0,-223.1143552311312,8230.0,H:UnfavBreak,-275.09999999999127,22.0,-223.1143552311312
8269,2025-12-06 18:19:00,BUY,89901.4,89707.1,MISMATCH,12.200000000011642,7,8275,TimeExit,-32.89999999999418,6,-269.672131147236,8494.0,FailSafe,-460.29999999998836,225.0,-3772.9508196684355,8275.0,TimeExit+Conv,-32.89999999999418,6.0,-269.672131147236
8330,2025-12-06 19:20:00,SELL,89633.1,89768.7,MATCH,318.8000000000029,108,8336,TimeExit,-71.29999999998836,6,-22.36511919698485,8494.0,FailSafe,192.0,164.0,60.22584692597185,8363.0,TimeExit+FR,-31.19999999999709,33.0,-9.786700125469512
8391,2025-12-06 20:21:00,BUY,89681.4,89607.4,MATCH,79.80000000000291,5,8400,TimeExit,-2.099999999991269,9,-2.631578947357384,8494.0,FailSafe,-240.29999999998836,103.0,-301.1278195488466,8421.0,TimeExit+FR,-58.79999999998836,30.0,-73.68421052629851
8452,2025-12-06 21:22:00,SELL,89511.8,89739.2,MATCH,254.1999999999971,11,8459,TimeExit,-36.89999999999418,7,-14.516129032255943,8494.0,FailSafe,70.69999999999709,42.0,27.812745869393353,8494.0,H:FailSafe,70.69999999999709,42.0,27.812745869393353
8520,2025-12-06 22:30:00,BUY,89434.0,89317.3,MATCH,173.10000000000582,35,8560,EMACross,24.30000000000291,40,14.038128249567933,8663.0,UnfavBreak,-192.89999999999418,143.0,-111.43847487001023,8565.0,TimeExit+FR,-4.0,45.0,-2.3108030040438274
8581,2025-12-06 23:31:00,SELL,89424.5,89502.3,MATCH,530.8000000000029,115,8587,TimeExit,-25.60000000000582,6,-4.822908816881251,8665.0,TrailStop,113.0,84.0,21.288620949510058,8623.0,TimeExit+FR,-42.19999999999709,42.0,-7.9502637528253315
8643,2025-12-07 00:33:00,BUY,89394.4,89295.8,MISMATCH,38.90000000000873,120,8652,TimeExit,-19.39999999999418,9,-49.87146529560366,8717.0,TrailStop,-171.1999999999971,74.0,-440.10282776338994,8652.0,TimeExit+Conv,-19.39999999999418,9.0,-49.87146529560366
8704,2025-12-07 01:34:00,SELL,89035.7,89204.4,MISMATCH,9.89999999999418,1,8709,EMACross,-98.10000000000582,5,-990.9090909097323,8790.0,TrailStop,-422.8000000000029,86.0,-4270.707070709611,8709.0,H:EMACross,-98.10000000000582,5.0,-990.9090909097323
8765,2025-12-07 02:35:00,BUY,89414.7,89161.0,MATCH,163.5,45,8789,TimeExit,-33.5,24,-20.489296636085626,8789.0,UnfavBreak,-33.5,24.0,-20.489296636085626,8789.0,H:UnfavBreak,-33.5,24.0,-20.489296636085626
8826,2025-12-07 03:36:00,SELL,89406.4,89578.2,MATCH,131.6999999999971,23,8840,TimeExit,-8.30000000000291,14,-6.3022019741861,8950.0,UnfavBreak,-276.70000000001164,124.0,-210.09870918756093,8862.0,TimeExit+FR,-0.8000000000029104,36.0,-0.6074411541404161
8887,2025-12-07 04:37:00,BUY,89395.2,89393.7,MISMATCH,382.0,91,8888,StructBreak,-27.0,1,-7.068062827225131,8953.0,TrailStop,283.8000000000029,66.0,74.29319371727826,8889.0,H:EMACross,1.8000000000029104,2.0,0.4712041884824373
8948,2025-12-07 05:38:00,BUY,89673.8,89537.0,MATCH,103.39999999999418,30,8964,TimeExit,-2.8000000000029104,16,-2.7079303675078026,9065.0,TrailStop,-173.1999999999971,117.0,-167.50483558994858,8987.0,TimeExit+FR,-4.900000000008731,39.0,-4.738878143142173
9009,2025-12-07 06:39:00,SELL,89492.9,89683.0,MATCH,87.0,40,9015,TimeExit,-74.40000000000873,6,-85.51724137932038,9064.0,UnfavBreak,5.19999999999709,55.0,5.9770114942495285,9064.0,H:UnfavBreak,5.19999999999709,55.0,5.9770114942495285
9070,2025-12-07 07:40:00,BUY,89495.3,89407.9,MATCH,229.1999999999971,81,9076,TimeExit,-2.3000000000029104,6,-1.0034904013974433,9157.0,UnfavBreak,31.39999999999418,87.0,13.699825479927826,9157.0,H:UnfavBreak,31.39999999999418,87.0,13.699825479927826
9131,2025-12-07 08:41:00,BUY,89642.2,89613.2,MISMATCH,82.30000000000291,20,9137,TimeExit,-4.899999999994179,6,-5.953827460503045,9157.0,UnfavBreak,-115.5,26.0,-140.3402187120242,9137.0,TimeExit+Conv,-4.899999999994179,6.0,-5.953827460503045
9192,2025-12-07 09:42:00,SELL,89229.1,89423.0,MATCH,149.90000000000873,103,9198,TimeExit,-66.5,6,-44.362908605734575,9296.0,TrailStop,54.60000000000582,104.0,36.42428285523859,9222.0,TimeExit+FR,-16.0,30.0,-10.673782521680499
9253,2025-12-07 10:43:00,BUY,89480.7,89289.0,MATCH,0.0,1,9259,TimeExit,-37.80000000000291,6,,9291.0,UnfavBreak,-281.09999999999127,38.0,,9283.0,TimeExit+FR,-126.39999999999418,30.0,
9314,2025-12-07 11:44:00,SELL,89167.8,89255.4,MATCH,131.90000000000873,9,9331,TimeExit,-10.69999999999709,17,-8.11220621682819,9363.0,TrailStop,26.69999999999709,49.0,20.24260803638766,9344.0,TimeExit+FR,-120.89999999999418,30.0,-91.66034874904183
9375,2025-12-07 12:45:00,BUY,89255.7,89094.6,MATCH,176.0,120,9386,TimeExit,-14.0,11,-7.954545454545454,9419.0,UnfavBreak,-91.19999999999709,44.0,-51.818181818180165,9405.0,TimeExit+FR,-6.30000000000291,30.0,-3.5795454545471084
9436,2025-12-07 13:46:00,SELL,89170.0,89246.4,MATCH,498.3999999999942,96,9456,TimeExit,-18.69999999999709,20,-3.7520064205452064,9565.0,UnfavBreak,97.60000000000582,129.0,19.58266452648615,9466.0,TimeExit+FR,-161.6999999999971,30.0,-32.44382022471889
9497,2025-12-07 14:47:00,BUY,89513.9,89212.1,MATCH,57.80000000000291,2,9503,TimeExit,-59.19999999999709,6,-102.42214532870952,9566.0,TrailStop,-433.0,69.0,-749.1349480968481,9527.0,TimeExit+FR,-180.5,30.0,-312.2837370242057
9566,2025-12-07 15:56:00,BUY,89080.9,88861.0,MATCH,474.3000000000029,119,9572,TimeExit,-35.5,6,-7.484714315833814,9640.0,TrailStop,-291.79999999998836,74.0,-61.522243305921684,9596.0,TimeExit+FR,-990.6999999999971,30.0,-208.87623866750812
9627,2025-12-07 16:57:00,BUY,88167.3,88075.7,MISMATCH,1534.8999999999942,60,9634,TimeExit,-0.10000000000582077,7,-0.006515082416171812,9741.0,FailSafe,1332.300000000003,114.0,86.80044302560479,9634.0,TimeExit+Conv,-0.10000000000582077,7.0,-0.006515082416171812
9688,2025-12-07 17:58:00,BUY,89431.0,88872.5,MATCH,1842.1000000000058,97,9694,TimeExit,-33.69999999999709,6,-1.8294337983821174,9741.0,FailSafe,68.60000000000582,53.0,3.7240106400307047,9718.0,TimeExit+FR,-150.6999999999971,30.0,-8.180880516801292
