entry_time,direction,entry_price,original_sl,sl,tp,sr_level,exit_time,exit_price,exit_reason,pnl_pips,rr_achieved,confirm_pattern,breakeven_triggered
2025-12-02 20:00:00,long,91578.3,91351.8,91351.8,92031.3,91258.375,2025-12-02 20:20:00,92031.3,TP,45300.0,2.0,KeyReversal,False
2025-12-02 20:55:00,long,91935.1,91751.0,91751.0,92303.30000000002,91949.86640624999,2025-12-02 22:00:00,91751.0,SL,-18410.000000000582,-1.0,PinBar,False
2025-12-03 16:10:00,short,92020.9,92371.9,92371.9,91318.9,92534.7375,2025-12-03 16:15:00,92371.9,SL,-35100.0,-1.0,PinBar,False
2026-01-31 17:05:00,short,81409.9,81770.0,81770.0,80689.69999999998,81862.3,2026-01-31 18:15:00,80689.69999999998,TP,72020.00000000116,2.0,PinBar,False
2026-02-02 10:45:00,long,77030.3,76827.3,76827.3,77436.3,76970.1,2026-02-02 11:00:00,76827.3,SL,-20300.0,-1.0,Engulfing,False
2026-02-04 17:45:00,short,74097.4,74441.7,74441.7,73408.79999999999,74592.2,2026-02-04 18:20:00,73408.79999999999,TP,68860.00000000058,2.0,Engulfing,False
2026-02-04 20:05:00,short,72570.4,72942.6,72942.6,71825.99999999997,72943.0,2026-02-04 20:10:00,72942.6,SL,-37220.000000001164,-1.0,PinBar,False
2026-02-06 16:10:00,long,67171.7,66868.6,66868.6,67777.89999999998,66791.578125,2026-02-06 16:15:00,66868.6,SL,-30309.999999999127,-1.0,KeyReversal,False
2026-02-24 19:20:00,long,64266.2,64173.3,64173.3,64451.999999999985,64288.8,2026-02-24 19:25:00,64173.3,SL,-9289.999999999418,-1.0,PinBar,False
