entry_time,direction,entry_price,original_sl,sl,tp,sr_level,exit_time,exit_price,exit_reason,pnl_pips,rr_achieved,confirm_pattern,breakeven_triggered
2025-09-02 18:00:00,long,3512.97,3509.0,3512.97,3520.9099999999994,3509.6800000000003,2025-09-02 19:00:00,3520.9099999999994,TP,793.99999999996,2.0,Engulfing,True
2025-09-03 14:25:00,long,3545.72,3544.16,3545.72,3548.8399999999997,3545.79,2025-09-03 14:30:00,3545.72,BE,0.0,0.0,PinBar,True
2025-09-03 17:55:00,long,3558.42,3553.76,3558.42,3567.74,3558.72,2025-09-03 19:25:00,3567.74,TP,931.9999999999709,2.0,KeyReversal,True
2025-09-05 15:50:00,long,3580.24,3574.49,3574.49,3591.74,3578.4,2025-09-05 16:05:00,3574.49,SL,-575.0,-1.0,PinBar,False
2025-09-15 17:00:00,long,3658.93,3653.36,3658.93,3670.0699999999993,3659.545,2025-09-15 18:45:00,3670.0699999999993,TP,1113.9999999999418,2.0,KeyReversal,True
2025-09-15 19:45:00,long,3678.97,3674.24,3678.97,3688.43,3676.53625,2025-09-16 04:00:00,3688.43,TP,946.0000000000036,2.0,PinBar,True
2025-09-24 20:55:00,short,3733.15,3735.49,3733.15,3728.4700000000007,3735.5550000000003,2025-09-24 21:05:00,3728.4700000000007,TP,467.99999999993815,2.0,Engulfing,True
2025-09-30 11:15:00,short,3832.56,3838.92,3832.56,3819.8399999999997,3837.99,2025-09-30 11:20:00,3832.56,BE,0.0,0.0,Engulfing,True
2025-10-06 09:55:00,long,3934.39,3930.63,3930.63,3941.9099999999994,3929.255,2025-10-06 10:20:00,3930.63,SL,-375.99999999997635,-1.0,Engulfing,False
2025-10-09 17:30:00,short,4005.78,4013.79,4013.79,3989.7600000000007,4011.23,2025-10-09 17:35:00,4013.79,SL,-800.9999999999764,-1.0,PinBar,False
2025-10-15 08:40:00,long,4188.58,4183.88,4188.58,4197.98,4182.7525000000005,2025-10-15 09:50:00,4197.98,TP,939.9999999999636,2.0,KeyReversal,True
2025-10-16 17:00:00,long,4256.23,4244.91,4256.23,4278.869999999999,4245.16,2025-10-16 19:05:00,4278.869999999999,TP,2263.999999999942,2.0,Engulfing,True
2025-10-22 12:30:00,short,4074.63,4083.17,4074.63,4057.55,4081.97,2025-10-22 13:00:00,4074.63,BE,0.0,0.0,PinBar,True
